,buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),living rooms(Number),Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space()1000 sqm,Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR)
2010,140935,-,-,-,3807,184441,21839,3542,107,890393,30492496,-,94602,102424,-,4665,164611,18890,3015,90,787495,25675015,-,-,-,46333,-858,19830,2949,527,17,102898,4817481
2011,161569,-,-,-,4687,223423,26240,3063,102,1055961,37350759,-,112698,123959,-,5701,200061,22958,3207,103,942503,32086533,-,-,-,48871,-1014,23362,3282,-144,-1,113458,5264226
2012,159092,-,-,-,4987,236783,26906,-,-,1067187,39497186,-,109128,126986,-,6040,212636,23614,-,-,956111,33849152,-,-,-,49964,-1053,24147,3293,-,-,111076,5648034
2013,165331,-,-,-,5275,266030,29265,-,-,1152929,43995565,-,113291,137885,-,6600,237274,25599,-,-,1027184,37823653,-,-,-,52040,-1325,28756,3666,-,-,125745,6171912
2014,163866,-,-,-,5321,278412,29940,-,-,1166372,46460622,-,111610,140702,-,6709,246024,26107,-,-,1034996,39884038,-,-,-,52256,-1388,32388,3833,-,-,131376,6576584
2015,177166,-,-,-,5447,307485,32565,-,-,1254205,51357332,-,120771,151725,-,7225,267965,28185,-,-,1105715,44106206,-,-,-,56395,-1778,39520,4379,-,-,148490,7251126
2016,184877,-,-,-,6054,365335,36234,-,-,1397247,58928034,-,125157,168206,-,8135,316550,31342,-,-,1226486,50897329,-,-,-,59720,-2081,48785,4892,-,-,170761,8030705
2017,175707,-,-,-,5820,339811,34391,-,-,1306238,58630271,-,119060,161490,-,7572,300349,29990,-,-,1157732,50827833,-,-,-,56647,-1751,39462,4401,-,-,148506,7802438
2018,173568,-,-,-,6285,339623,34541,-,-,1300168,61344222,-,117869,162484,-,7830,302209,30163,-,-,1159261,53380137,-,-,-,55699,-1545,37414,4377,-,-,140907,7964085
2019,176637,-,-,-,6469,351991,35025,-,-,1344583,65922716,-,119457,167607,-,8166,311138,31070,-,-,1192149,56993320,-,-,-,57180,-1697,40853,3955,-,-,152434,8929396
2020,187130,-,-,-,6758,360588,36359,-,-,1372107,70467765,-,124596,171758,-,8313,320362,31899,-,-,1218639,61231421,-,-,-,62534,-1555,40226,4460,-,-,153468,9236344
2021,201055,-,-,-,7091,370476,38056,-,-,1424177,78379600,-,129306,178872,-,8762,328489,33085,-,-,1253116,67306022,-,-,-,71749,-1671,41987,4972,-,-,171061,11073578
Wohngebäude mit 1 Wohnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,x,x,x,x,x,x,x,x,x,x,x,-,136722,103299,-,5035,136722,18475,102,3,821962,22834312,-,-,-,x,x,x,x,x,x,x,x
2002,x,x,x,x,x,x,x,x,x,x,x,-,137182,105055,-,5187,137182,18743,128,4,830918,23349250,-,-,-,x,x,x,x,x,x,x,x
2003,x,x,x,x,x,x,x,x,x,x,x,-,155405,120246,-,5967,155405,21399,119,4,943199,26664185,-,-,-,x,x,x,x,x,x,x,x
2004,x,x,x,x,x,x,x,x,x,x,x,-,134915,103740,-,5280,134915,18643,100,3,818405,23045688,-,-,-,x,x,x,x,x,x,x,x
2005,x,x,x,x,x,x,x,x,x,x,x,-,121554,92357,-,4507,121554,16835,76,3,728378,20662543,-,-,-,x,x,x,x,x,x,x,x
2006,x,x,x,x,x,x,x,x,x,x,x,-,120596,92970,-,4438,120596,16965,54,2,725318,21015433,-,-,-,x,x,x,x,x,x,x,x
2007,x,x,x,x,x,x,x,x,x,x,x,-,78711,60496,-,2857,78711,11164,48,2,468956,14014257,-,-,-,x,x,x,x,x,x,x,x
2008,x,x,x,x,x,x,x,x,x,x,x,-,73270,57274,-,2764,73270,10518,75,3,437176,13644053,-,-,-,x,x,x,x,x,x,x,x
2009,x,x,x,x,x,x,x,x,x,x,x,-,74810,59048,-,2836,74810,10812,67,2,446951,14384257,-,-,-,x,x,x,x,x,x,x,x
2010,x,x,x,x,x,x,x,x,x,x,x,-,78557,62742,-,2953,78557,11515,66,3,470460,15688549,-,-,-,x,x,x,x,x,x,x,x
2011,x,x,x,x,x,x,x,x,x,x,x,-,93981,75330,-,3563,93981,13867,77,4,562361,19287011,-,-,-,x,x,x,x,x,x,x,x
2012,x,x,x,x,x,x,x,x,x,x,x,-,88693,71281,-,3451,88693,13171,-,-,529489,18892919,-,-,-,x,x,x,x,x,x,x,x
2013,x,x,x,x,x,x,x,x,x,x,x,-,89830,72490,-,3486,89830,13397,-,-,532778,19788878,-,-,-,x,x,x,x,x,x,x,x
2014,x,x,x,x,x,x,x,x,x,x,x,-,88191,71326,-,3459,88191,13180,-,-,521752,20058887,-,-,-,x,x,x,x,x,x,x,x
2015,x,x,x,x,x,x,x,x,x,x,x,-,95718,77381,-,3732,95718,14315,-,-,559473,22327466,-,-,-,x,x,x,x,x,x,x,x
2016,x,x,x,x,x,x,x,x,x,x,x,-,95509,77799,-,3754,95509,14392,-,-,558430,23229017,-,-,-,x,x,x,x,x,x,x,x
2017,x,x,x,x,x,x,x,x,x,x,x,-,90773,74259,-,3477,90773,13734,-,-,527292,22992284,-,-,-,x,x,x,x,x,x,x,x
2018,x,x,x,x,x,x,x,x,x,x,x,-,89846,73763,-,3511,89846,13640,-,-,521736,23677001,-,-,-,x,x,x,x,x,x,x,x
2019,x,x,x,x,x,x,x,x,x,x,x,-,90901,74592,-,3515,90901,13881,-,-,528938,25036975,-,-,-,x,x,x,x,x,x,x,x
2020,x,x,x,x,x,x,x,x,x,x,x,-,93151,76841,-,3597,93151,14308,-,-,539963,27109966,-,-,-,x,x,x,x,x,x,x,x
2021,x,x,x,x,x,x,x,x,x,x,x,-,93895,78130,-,3627,93895,14540,-,-,544666,29076515,-,-,-,x,x,x,x,x,x,x,x
Wohngebäude mit 2 Wohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,x,x,x,x,x,x,x,x,x,x,x,-,17886,20808,-,1011,35772,3763,38,1,169376,4614769,-,-,-,x,x,x,x,x,x,x,x
2002,x,x,x,x,x,x,x,x,x,x,x,-,17381,19939,-,990,34762,3631,28,1,163172,4457993,-,-,-,x,x,x,x,x,x,x,x
2003,x,x,x,x,x,x,x,x,x,x,x,-,18644,21587,-,1065,37288,3924,37,1,176181,4819454,-,-,-,x,x,x,x,x,x,x,x
2004,x,x,x,x,x,x,x,x,x,x,x,-,16079,18698,-,939,32158,3418,26,1,152919,4193188,-,-,-,x,x,x,x,x,x,x,x
2005,x,x,x,x,x,x,x,x,x,x,x,-,11867,13753,-,695,23734,2535,22,1,111523,3110771,-,-,-,x,x,x,x,x,x,x,x
2006,x,x,x,x,x,x,x,x,x,x,x,-,12654,14632,-,735,25308,2697,12,0,117932,3350681,-,-,-,x,x,x,x,x,x,x,x
2007,x,x,x,x,x,x,x,x,x,x,x,-,7996,9182,-,461,15992,1706,8,0,73753,2160358,-,-,-,x,x,x,x,x,x,x,x
2008,x,x,x,x,x,x,x,x,x,x,x,-,7521,8846,-,439,15042,1635,20,1,69716,2118635,-,-,-,x,x,x,x,x,x,x,x
2009,x,x,x,x,x,x,x,x,x,x,x,-,7635,8932,-,440,15270,1662,22,1,70458,2203373,-,-,-,x,x,x,x,x,x,x,x
2010,x,x,x,x,x,x,x,x,x,x,x,-,8068,9545,-,455,16136,1775,6,0,74278,2407819,-,-,-,x,x,x,x,x,x,x,x
2011,x,x,x,x,x,x,x,x,x,x,x,-,8658,10255,-,488,17316,1918,3,0,79796,2643095,-,-,-,x,x,x,x,x,x,x,x
2012,x,x,x,x,x,x,x,x,x,x,x,-,9002,10617,-,522,18004,1971,-,-,81793,2824915,-,-,-,x,x,x,x,x,x,x,x
2013,x,x,x,x,x,x,x,x,x,x,x,-,10227,12009,-,595,20454,2235,-,-,91057,3301120,-,-,-,x,x,x,x,x,x,x,x
2014,x,x,x,x,x,x,x,x,x,x,x,-,9573,11369,-,557,19146,2121,-,-,85791,3225167,-,-,-,x,x,x,x,x,x,x,x
2015,x,x,x,x,x,x,x,x,x,x,x,-,10151,12022,-,595,20302,2252,-,-,90114,3500273,-,-,-,x,x,x,x,x,x,x,x
2016,x,x,x,x,x,x,x,x,x,x,x,-,11429,13633,-,675,22858,2553,-,-,100495,4112905,-,-,-,x,x,x,x,x,x,x,x
2017,x,x,x,x,x,x,x,x,x,x,x,-,11107,13152,-,627,22214,2482,-,-,96388,4142537,-,-,-,x,x,x,x,x,x,x,x
2018,x,x,x,x,x,x,x,x,x,x,x,-,10396,12474,-,620,20792,2335,-,-,90789,4053128,-,-,-,x,x,x,x,x,x,x,x
2019,x,x,x,x,x,x,x,x,x,x,x,-,10655,12825,-,612,21310,2413,-,-,93876,4328983,-,-,-,x,x,x,x,x,x,x,x
2020,x,x,x,x,x,x,x,x,x,x,x,-,12847,15391,-,746,25694,2894,-,-,111522,5423614,-,-,-,x,x,x,x,x,x,x,x
2021,x,x,x,x,x,x,x,x,x,x,x,-,16074,19427,-,957,32148,3618,-,-,136362,7264586,-,-,-,x,x,x,x,x,x,x,x
Wohngebäude mit 1 oder 2 Wohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,x,x,x,x,x,x,x,x,x,x,x,-,154608,124107,-,6046,172494,22237,140,5,991338,27449080,-,-,-,x,x,x,x,x,x,x,x
2002,x,x,x,x,x,x,x,x,x,x,x,-,154563,124994,-,6177,171944,22374,156,5,994090,27807243,-,-,-,x,x,x,x,x,x,x,x
2003,x,x,x,x,x,x,x,x,x,x,x,-,174049,141833,-,7033,192693,25323,156,5,1119380,31483639,-,-,-,x,x,x,x,x,x,x,x
2004,x,x,x,x,x,x,x,x,x,x,x,-,150994,122438,-,6219,167073,22061,126,4,971324,27238876,-,-,-,x,x,x,x,x,x,x,x
2005,x,x,x,x,x,x,x,x,x,x,x,-,133421,106110,-,5202,145288,19370,98,3,839901,23773314,-,-,-,x,x,x,x,x,x,x,x
2006,x,x,x,x,x,x,x,x,x,x,x,-,133250,107602,-,5173,145904,19663,66,2,843250,24366114,-,-,-,x,x,x,x,x,x,x,x
2007,x,x,x,x,x,x,x,x,x,x,x,-,86707,69678,-,3318,94703,12870,56,2,542709,16174615,-,-,-,x,x,x,x,x,x,x,x
2008,x,x,x,x,x,x,x,x,x,x,x,-,80791,66120,-,3203,88312,12152,95,4,506892,15762688,-,-,-,x,x,x,x,x,x,x,x
2009,x,x,x,x,x,x,x,x,x,x,x,-,82445,67980,-,3276,90080,12474,89,3,517409,16587630,-,-,-,x,x,x,x,x,x,x,x
2010,x,x,x,x,x,x,x,x,x,x,x,-,86625,72287,-,3408,94693,13290,72,3,544738,18096368,-,-,-,x,x,x,x,x,x,x,x
2011,x,x,x,x,x,x,x,x,x,x,x,-,102639,85585,-,4051,111297,15786,80,4,642157,21930106,-,-,-,x,x,x,x,x,x,x,x
2012,x,x,x,x,x,x,x,x,x,x,x,-,97695,81898,-,3973,106697,15142,-,-,611282,21717834,-,-,-,x,x,x,x,x,x,x,x
2013,x,x,x,x,x,x,x,x,x,x,x,-,100057,84499,-,4082,110284,15632,-,-,623835,23089998,-,-,-,x,x,x,x,x,x,x,x
2014,x,x,x,x,x,x,x,x,x,x,x,-,97764,82695,-,4015,107337,15301,-,-,607543,23284054,-,-,-,x,x,x,x,x,x,x,x
2015,x,x,x,x,x,x,x,x,x,x,x,-,105869,89403,-,4328,116020,16567,-,-,649587,25827739,-,-,-,x,x,x,x,x,x,x,x
2016,x,x,x,x,x,x,x,x,x,x,x,-,106938,91432,-,4429,118367,16945,-,-,658925,27341922,-,-,-,x,x,x,x,x,x,x,x
2017,x,x,x,x,x,x,x,x,x,x,x,-,101880,87411,-,4104,112987,16216,-,-,623680,27134821,-,-,-,x,x,x,x,x,x,x,x
2018,x,x,x,x,x,x,x,x,x,x,x,-,100242,86237,-,4131,110638,15975,-,-,612525,27730129,-,-,-,x,x,x,x,x,x,x,x
2019,x,x,x,x,x,x,x,x,x,x,x,-,101556,87417,-,4126,112211,16294,-,-,622814,29365958,-,-,-,x,x,x,x,x,x,x,x
2020,x,x,x,x,x,x,x,x,x,x,x,-,105998,92232,-,4343,118845,17202,-,-,651485,32533580,-,-,-,x,x,x,x,x,x,x,x
2021,x,x,x,x,x,x,x,x,x,x,x,-,109969,97557,-,4584,126043,18158,-,-,681028,36341101,-,-,-,x,x,x,x,x,x,x,x
Wohngebäude mit 3 oder mehr Wohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,x,x,x,x,x,x,x,x,x,x,x,-,10999,35187,-,1479,83047,6593,59,2,310054,7960122,-,-,-,x,x,x,x,x,x,x,x
2002,x,x,x,x,x,x,x,x,x,x,x,-,9764,30239,-,1308,70419,5705,154,4,265382,6942286,-,-,-,x,x,x,x,x,x,x,x
2003,x,x,x,x,x,x,x,x,x,x,x,-,9764,30303,-,1327,69837,5690,45,1,263269,6969463,-,-,-,x,x,x,x,x,x,x,x
2004,x,x,x,x,x,x,x,x,x,x,x,-,9146,29458,-,1294,68504,5542,31,1,255797,6761402,-,-,-,x,x,x,x,x,x,x,x
2005,x,x,x,x,x,x,x,x,x,x,x,-,8389,27609,-,1149,65111,5281,36,2,240544,6319482,-,-,-,x,x,x,x,x,x,x,x
2006,x,x,x,x,x,x,x,x,x,x,x,-,8759,29997,-,1293,69780,5667,139,4,255871,6923588,-,-,-,x,x,x,x,x,x,x,x
2007,x,x,x,x,x,x,x,x,x,x,x,-,7120,26301,-,1153,61173,5026,60,2,220469,6166603,-,-,-,x,x,x,x,x,x,x,x
2008,x,x,x,x,x,x,x,x,x,x,x,-,6752,25379,-,1124,58537,4806,132,5,208541,6077374,-,-,-,x,x,x,x,x,x,x,x
2009,x,x,x,x,x,x,x,x,x,x,x,-,6910,26618,-,1187,61426,5052,51,3,215000,6556781,-,-,-,x,x,x,x,x,x,x,x
2010,x,x,x,x,x,x,x,x,x,x,x,-,7834,29113,-,1192,66912,5510,108,3,235660,7287842,-,-,-,x,x,x,x,x,x,x,x
2011,x,x,x,x,x,x,x,x,x,x,x,-,9920,37267,-,1602,85304,7068,52,3,292434,9798641,-,-,-,x,x,x,x,x,x,x,x
2012,x,x,x,x,x,x,x,x,x,x,x,-,11223,43595,-,2001,97203,8186,-,-,332965,11673386,-,-,-,x,x,x,x,x,x,x,x
2013,x,x,x,x,x,x,x,x,x,x,x,-,13031,51933,-,2440,118908,9714,-,-,392952,14295649,-,-,-,x,x,x,x,x,x,x,x
2014,x,x,x,x,x,x,x,x,x,x,x,-,13591,56098,-,2599,128088,10460,-,-,413021,15994183,-,-,-,x,x,x,x,x,x,x,x
2015,x,x,x,x,x,x,x,x,x,x,x,-,14527,60124,-,2789,139355,11223,-,-,439263,17537633,-,-,-,x,x,x,x,x,x,x,x
2016,x,x,x,x,x,x,x,x,x,x,x,-,17364,72298,-,3488,172679,13533,-,-,529106,22043054,-,-,-,x,x,x,x,x,x,x,x
2017,x,x,x,x,x,x,x,x,x,x,x,-,16771,71464,-,3336,172404,13304,-,-,514158,22735580,-,-,-,x,x,x,x,x,x,x,x
2018,x,x,x,x,x,x,x,x,x,x,x,-,17399,74035,-,3568,180137,13812,-,-,531041,24798368,-,-,-,x,x,x,x,x,x,x,x
2019,x,x,x,x,x,x,x,x,x,x,x,-,17687,78107,-,3930,188481,14406,-,-,554854,26854709,-,-,-,x,x,x,x,x,x,x,x
2020,x,x,x,x,x,x,x,x,x,x,x,-,18361,77404,-,3872,189394,14304,-,-,551288,27800372,-,-,-,x,x,x,x,x,x,x,x
2021,x,x,x,x,x,x,x,x,x,x,x,-,19157,79670,-,4083,193515,14654,-,-,560620,30212842,-,-,-,x,x,x,x,x,x,x,x
Wohnheime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,281,-,-,-,34,1189,46,3790,138,6952,361326,-,137,908,-,48,1023,38,3138,106,5784,235914,-,-,-,144,-14,166,7,652,32,1168,125413
2002,248,-,-,-,33,826,37,5032,162,7934,363390,-,128,1007,-,51,859,40,4080,127,6767,270718,-,-,-,120,-17,-33,-3,952,35,1167,92672
2003,212,-,-,-,48,756,33,4616,130,7136,268790,-,121,881,-,55,787,35,4069,113,6521,235213,-,-,-,91,-8,-31,-2,547,17,615,33577
2004,294,-,-,-,59,754,30,6608,217,10719,356439,-,171,1270,-,73,801,33,5652,184,9473,309618,-,-,-,123,-14,-47,-3,956,33,1246,46821
2005,315,-,-,-,72,1518,59,6794,210,11529,448383,-,181,1415,-,87,1307,52,6074,184,10293,361991,-,-,-,134,-16,211,7,720,26,1236,86392
2006,249,-,-,-,44,1008,36,5923,186,9682,340792,-,129,1073,-,66,896,33,4493,145,7930,263432,-,-,-,120,-22,112,3,1430,41,1752,77360
