,buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),living rooms(Number),Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space()1000 sqm,Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR),buildings/construction measures(Number),Building(Number),volume(1000 cbm),construction measures(Number),floor space(1000 sqm),Apartments(Number),living space of the apartments(1000 sqm),Other residential units(Number),Living space of the other residential units(1000 sqm),"living rooms(	Number)",Estimated cost of construction(Thousand EUR)
2017,755,-,-,-,-8,18751,636,-,-,25609,1175963,-,409,2614,-,132,14958,470,-,-,19894,957432,-,-,-,346,-140,3793,166,-,-,5715,218531
2018,446,-,-,-,45,14712,476,-,-,19641,1043588,-,228,2212,-,131,11434,376,-,-,15695,851640,-,-,-,218,-85,3278,99,-,-,3946,191948
2019,402,-,-,-,64,12218,421,-,-,16952,936347,-,214,2083,-,110,10446,370,-,-,14481,772653,-,-,-,188,-46,1772,51,-,-,2471,163694
2020,414,-,-,-,58,13651,447,-,-,17708,1016551,-,237,2121,-,98,12123,392,-,-,15866,897469,-,-,-,177,-39,1528,55,-,-,1842,119082
2021,308,-,-,-,53,10311,324,-,-,13375,911587,-,180,1644,-,94,8931,273,-,-,11468,752079,-,-,-,128,-41,1380,51,-,-,1907,159508
Wohngebäude mit Eigentumswohnungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,12134,-,-,-,846,55116,4781,-36,0,214612,5991998,-,7996,22646,-,1011,50969,4247,27,1,195275,5157109,-,-,-,4138,-165,4147,534,-63,-1,19337,834889
2002,10209,-,-,-,670,45246,3996,-191,-5,177469,4951556,-,6712,18555,-,831,41238,3533,142,4,161103,4249628,-,-,-,3497,-161,4008,462,-333,-9,16366,701928
2003,10250,-,-,-,679,45624,4007,-91,-6,178897,4920166,-,6811,18626,-,861,41347,3534,13,0,161186,4266192,-,-,-,3439,-182,4277,473,-104,-6,17711,653974
2004,9437,-,-,-,610,44300,3884,-60,-1,171787,4748527,-,6120,17832,-,798,39891,3399,30,1,154217,4110743,-,-,-,3317,-189,4409,485,-90,-2,17570,637784
2005,8368,-,-,-,526,42444,3735,-273,-5,163353,4488801,-,5342,16870,-,755,37669,3223,29,1,145124,3863689,-,-,-,3026,-229,4775,513,-302,-6,18229,625112
2006,8355,-,-,-,530,43713,3915,-153,-5,168517,4745514,-,5174,17841,-,812,39077,3383,43,1,150050,4086387,-,-,-,3181,-282,4636,532,-196,-5,18467,659127
2007,7122,-,-,-,421,37789,3441,-270,-10,143138,4182128,-,4400,15255,-,707,33094,2942,13,0,126516,3564149,-,-,-,2722,-286,4695,499,-283,-10,16622,617979
2008,7190,-,-,-,332,36776,3457,-142,-3,140578,4375955,-,4312,15055,-,696,31498,2878,37,2,121100,3617904,-,-,-,2878,-364,5278,579,-179,-5,19478,758051
2009,6451,-,-,-,402,35054,3303,-73,-2,131427,4319208,-,3877,14656,-,687,30737,2822,10,1,115281,3621969,-,-,-,2574,-285,4317,481,-83,-3,16146,697239
2010,7727,-,-,-,425,39018,3657,-54,-1,146517,4848220,-,4877,16382,-,710,34527,3136,11,0,129328,4133290,-,-,-,2850,-285,4491,521,-65,-1,17189,714930
2011,9205,-,-,-,671,54903,4981,-246,-5,195997,6806510,-,6433,22984,-,1022,49424,4403,20,1,177788,6039907,-,-,-,2772,-352,5479,579,-266,-7,18209,766603
2012,9823,-,-,-,973,63190,5755,-,-,222574,8194394,-,7019,27609,-,1289,58031,5219,-,-,205687,7344996,-,-,-,2804,-316,5159,536,-,-,16887,849398
2013,10846,-,-,-,990,74545,6594,-,-,253625,9675145,-,7741,30980,-,1473,66871,5862,-,-,229076,8601950,-,-,-,3105,-483,7674,732,-,-,24549,1073195
2014,11137,-,-,-,1164,78964,7012,-,-,264467,10673832,-,7972,33734,-,1590,71919,6311,-,-,241712,9568213,-,-,-,3165,-426,7045,701,-,-,22755,1105619
2015,12000,-,-,-,1115,80358,7085,-,-,261548,11011172,-,8223,33672,-,1599,71898,6302,-,-,235626,9812522,-,-,-,3777,-484,8460,782,-,-,25922,1198650
2016,13613,-,-,-,1436,90503,7771,-,-,288333,12694993,-,9160,37281,-,1871,82482,6995,-,-,261594,11379781,-,-,-,4453,-434,8021,776,-,-,26739,1315212
2017,12834,-,-,-,1304,86470,7254,-,-,268945,12408896,-,8572,35318,-,1747,78515,6535,-,-,244142,11199263,-,-,-,4262,-443,7955,719,-,-,24803,1209633
2018,13039,-,-,-,1498,90555,7819,-,-,280690,13660515,-,8906,37163,-,1879,83325,6965,-,-,258001,12366134,-,-,-,4133,-382,7230,854,-,-,22689,1294381
2019,13365,-,-,-,1662,92654,7728,-,-,283925,14333996,-,9029,37934,-,2061,84701,7022,-,-,259994,12939261,-,-,-,4336,-399,7953,705,-,-,23931,1394735
2020,12841,-,-,-,1508,87645,7224,-,-,266650,14002216,-,8412,35348,-,1874,80182,6560,-,-,243804,12638422,-,-,-,4429,-366,7463,664,-,-,22846,1363794
2021,12824,-,-,-,1594,88208,7198,-,-,264593,14818247,-,8282,35668,-,1944,80813,6547,-,-,241385,13389321,-,-,-,4542,-351,7395,651,-,-,23208,1428926
Öffentliche Bauherren von Wohngebäuden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,998,-,-,-,20,1974,179,293,9,8183,315741,-,651,808,-,39,1444,144,119,4,6684,189832,-,-,-,347,-19,530,35,174,5,1499,125908
2002,905,-,-,-,20,1814,155,41,2,7151,232083,-,634,710,-,30,1337,125,282,7,6093,157782,-,-,-,271,-11,477,30,-241,-6,1058,74301
2003,787,-,-,-,25,1504,139,497,13,6996,216615,-,557,724,-,29,1392,123,545,13,6430,161763,-,-,-,230,-3,112,16,-48,-1,566,54852
2004,613,-,-,-,20,1064,101,521,14,5291,176514,-,396,568,-,26,962,87,513,14,4723,131703,-,-,-,217,-6,102,14,8,0,568,44811
2005,491,-,-,-,14,1649,104,191,9,4813,177863,-,303,522,-,22,1469,88,341,11,4418,118155,-,-,-,188,-8,180,16,-150,-2,395,59708
2006,421,-,-,-,15,1382,96,260,3,4542,146934,-,259,442,-,25,1066,73,273,7,3755,103857,-,-,-,162,-10,316,23,-13,-3,787,43077
2007,459,-,-,-,6,989,84,883,22,5234,173837,-,289,416,-,16,832,65,961,20,4832,110205,-,-,-,170,-10,157,19,-78,2,402,63632
2008,437,-,-,-,16,895,65,756,22,3907,161049,-,257,436,-,19,1037,66,459,12,3760,114117,-,-,-,180,-4,-142,-1,297,10,147,46932
2009,360,-,-,-,21,1571,87,701,19,4696,200876,-,179,538,-,26,1503,79,629,18,4447,150483,-,-,-,181,-4,68,8,72,1,249,50393
2010,410,-,-,-,27,1866,106,355,9,4909,232328,-,221,560,-,31,1637,91,371,9,4331,160505,-,-,-,189,-5,229,15,-16,0,578,71823
2011,515,-,-,-,20,2057,140,218,8,6339,270632,-,327,731,-,25,1950,128,185,7,5897,221793,-,-,-,188,-6,107,12,33,1,442,48839
2012,512,-,-,-,14,3372,183,-,-,8013,367152,-,311,846,-,32,2940,159,-,-,6728,276588,-,-,-,201,-18,432,24,-,-,1285,90564
2013,877,-,-,-,38,3498,222,-,-,8666,479296,-,424,1201,-,51,3611,217,-,-,9496,379157,-,-,-,453,-13,-113,5,-,-,-830,100139
2014,871,-,-,-,55,4511,297,-,-,11868,575034,-,395,1371,-,73,4265,269,-,-,11477,418651,-,-,-,476,-18,246,28,-,-,391,156383
2015,1169,-,-,-,-38,9700,525,-,-,20578,846375,-,590,2033,-,77,7585,398,-,-,17283,661361,-,-,-,579,-115,2115,127,-,-,3295,185014
2016,2075,-,-,-,-11,24074,1097,-,-,49238,1742296,-,1249,4385,-,180,19170,885,-,-,41368,1456336,-,-,-,826,-191,4904,213,-,-,7870,285960
2017,1319,-,-,-,55,11767,650,-,-,27431,1235430,-,794,3015,-,112,10831,582,-,-,25435,1001361,-,-,-,525,-57,936,68,-,-,1996,234069
2018,1244,-,-,-,79,10108,586,-,-,24112,1217561,-,719,2739,-,108,9412,535,-,-,22682,1015075,-,-,-,525,-28,696,51,-,-,1430,202486
2019,1223,-,-,-,131,11991,713,-,-,29806,1673443,-,787,3710,-,156,11490,679,-,-,29088,1441916,-,-,-,436,-25,501,34,-,-,718,231527
2020,955,-,-,-,117,11115,630,-,-,25468,1529007,-,585,3177,-,135,10504,587,-,-,24240,1348504,-,-,-,370,-18,611,43,-,-,1228,180503
2021,1161,-,-,-,151,10931,686,-,-,27456,1950135,-,724,3598,-,171,10361,647,-,-,26483,1667079,-,-,-,437,-20,570,39,-,-,973,283056
Unternehmen als Bauherren von Wohngebäuden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,50231,-,-,-,1926,102528,10072,1441,50,458861,12434729,-,44067,50225,-,2188,97971,9389,1420,46,436960,11092849,-,-,-,6164,-262,4557,683,21,4,21901,1341880
2002,44118,-,-,-,1691,85734,8632,1271,50,387953,10900290,-,38529,43498,-,1901,83073,8121,1428,49,374719,9716995,-,-,-,5589,-211,2661,511,-157,1,13234,1183295
2003,42191,-,-,-,1703,82553,8362,947,30,374117,10568689,-,36823,42282,-,1916,79779,7871,1082,31,360978,9488384,-,-,-,5368,-212,2774,492,-135,-2,13139,1080305
2004,39215,-,-,-,1544,80547,8050,3268,119,362654,10072872,-,33512,40190,-,1799,76626,7473,3104,107,344004,8976792,-,-,-,5703,-255,3921,576,164,12,18650,1096080
2005,37569,-,-,-,1310,80254,7986,2728,89,354969,9779362,-,32286,39037,-,1624,75730,7381,2940,86,336386,8736223,-,-,-,5283,-314,4524,605,-212,3,18583,1043139
2006,37211,-,-,-,1251,82493,8203,2307,75,359496,10156601,-,31690,40030,-,1624,77373,7555,1832,63,338513,9042263,-,-,-,5521,-373,5120,647,475,12,20983,1114338
2007,31077,-,-,-,1038,75155,7363,2087,65,311325,9173573,-,25662,34952,-,1459,69179,6683,2167,67,291860,7999550,-,-,-,5415,-421,5976,680,-80,-1,19465,1174023
2008,26779,-,-,-,839,70992,6779,1810,69,284235,8782718,-,21737,31871,-,1347,62906,6004,2067,72,260449,7452212,-,-,-,5042,-508,8086,774,-257,-2,23786,1330506
2009,25123,-,-,-,840,67425,6478,1837,61,267646,8722975,-,20298,30775,-,1262,61976,5866,1882,57,250053,7445169,-,-,-,4825,-421,5449,613,-45,5,17593,1277806
2010,24678,-,-,-,857,71009,6681,1795,52,276080,9117195,-,19758,31920,-,1239,65920,6081,1419,41,258883,7890941,-,-,-,4920,-381,5089,600,376,12,17197,1226254
2011,28418,-,-,-,1100,89533,8259,1714,50,334136,11555414,-,23595,39276,-,1590,81543,7504,1995,60,311605,10172669,-,-,-,4823,-490,7990,755,-281,-10,22531,1382745
2012,27399,-,-,-,1431,98933,8940,-,-,352951,13007616,-,22153,43309,-,1906,91801,8232,-,-,333514,11441683,-,-,-,5246,-475,7132,708,-,-,19437,1565933
2013,28027,-,-,-,1570,117340,10232,-,-,404288,15053204,-,23109,49206,-,2209,107049,9306,-,-,374837,13339367,-,-,-,4918,-640,10291,925,-,-,29451,1713837
2014,29058,-,-,-,1725,128661,11023,-,-,426891,16826364,-,23985,53341,-,2338,116723,10025,-,-,394484,14977838,-,-,-,5073,-613,11938,998,-,-,32407,1848526
2015,30294,-,-,-,1617,136474,11541,-,-,441314,17877768,-,24762,54990,-,2430,121738,10342,-,-,402889,15832796,-,-,-,5532,-812,14736,1200,-,-,38425,2044972
2016,32415,-,-,-,2162,168160,13469,-,-,517451,21761133,-,26527,64816,-,3001,150554,12186,-,-,474051,19571919,-,-,-,5888,-839,17606,1282,-,-,43400,2189214
2017,30311,-,-,-,2004,161374,12856,-,-,490967,21923569,-,24697,62416,-,2795,146157,11694,-,-,451771,19803073,-,-,-,5614,-792,15217,1162,-,-,39196,2120496
2018,31488,-,-,-,2443,167524,13353,-,-,507135,24145850,-,25784,65849,-,3053,153937,12348,-,-,473692,21948334,-,-,-,5704,-610,13587,1005,-,-,33443,2197516
2019,32450,-,-,-,2541,173618,13861,-,-,525163,25704082,-,26389,67973,-,3272,157754,12663,-,-,484797,23126774,-,-,-,6061,-731,15864,1197,-,-,40366,2577308
2020,31465,-,-,-,2538,169679,13313,-,-,505253,25886965,-,25741,65864,-,3116,156338,12294,-,-,471430,23485884,-,-,-,5724,-578,13341,1019,-,-,33823,2401081
2021,30915,-,-,-,2595,164693,13046,-,-,493283,26975461,-,25237,65082,-,3178,152955,12060,-,-,459422,24407252,-,-,-,5678,-582,11738,986,-,-,33861,2568209
Wohnungsunternehmen als Bauherren von Wohngebäuden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,41386,-,-,-,1660,87552,8522,688,25,389594,10391192,-,37659,42915,-,1839,84769,8094,763,25,377412,9479074,-,-,-,3727,-179,2783,428,-75,0,12182,912119
2002,36287,-,-,-,1481,71161,7191,274,11,323673,8994909,-,32811,36660,-,1591,70537,6916,582,19,319535,8169624,-,-,-,3476,-109,624,275,-308,-8,4138,825285
2003,34189,-,-,-,1476,68980,6972,509,15,312858,8765314,-,30831,35531,-,1616,68056,6683,616,18,307405,7986783,-,-,-,3358,-140,924,289,-107,-3,5453,778531
2004,31797,-,-,-,1356,68417,6784,1668,64,305391,8409430,-,28270,34195,-,1502,66742,6448,1775,63,296567,7654025,-,-,-,3527,-146,1675,336,-107,1,8824,755405
2005,30648,-,-,-,1164,67011,6677,1219,48,296501,8157704,-,27301,33083,-,1342,64750,6319,1660,51,287501,7420646,-,-,-,3347,-178,2261,358,-441,-4,9000,737058
2006,30495,-,-,-,1118,70214,6944,1018,35,304588,8546932,-,26916,34266,-,1357,67616,6533,1210,40,293288,7756629,-,-,-,3579,-239,2598,410,-192,-5,11300,790303
2007,25551,-,-,-,912,64060,6274,1043,35,265146,7826068,-,21750,30119,-,1214,60412,5813,1183,41,253764,6926027,-,-,-,3801,-302,3648,460,-140,-6,11382,900041
2008,21410,-,-,-,778,58571,5623,536,22,235568,7300246,-,18029,26827,-,1097,53983,5133,767,28,222220,6312504,-,-,-,3381,-319,4588,491,-231,-6,13348,987742
2009,20059,-,-,-,802,56265,5404,949,36,223644,7285247,-,16801,26139,-,1050,53524,5032,1139,36,215299,6339620,-,-,-,3258,-248,2741,372,-190,-1,8345,945627
2010,19978,-,-,-,759,60087,5655,1081,32,234562,7756053,-,16626,27328,-,1024,57073,5248,1017,28,224423,6820369,-,-,-,3352,-264,3014,407,64,4,10139,935684
2011,22618,-,-,-,980,75618,6960,934,25,282062,9791763,-,19264,33345,-,1322,70266,6424,1307,38,267259,8712803,-,-,-,3354,-343,5352,536,-373,-12,14803,1078960
2012,22021,-,-,-,1265,81963,7447,-,-,294117,10896006,-,18456,36600,-,1578,77723,6993,-,-,283575,9687576,-,-,-,3565,-312,4240,454,-,-,10542,1208430
2013,22286,-,-,-,1407,94546,8308,-,-,330105,12298138,-,19138,40582,-,1822,88101,7712,-,-,311935,11033959,-,-,-,3148,-415,6445,596,-,-,18170,1264179
2014,23161,-,-,-,1547,104390,9041,-,-,351739,13859345,-,19855,44474,-,1946,97475,8383,-,-,331377,12493383,-,-,-,3306,-400,6915,658,-,-,20362,1365962
2015,23996,-,-,-,1485,107848,9320,-,-,357288,14523474,-,20391,45295,-,1991,98980,8542,-,-,334124,13053348,-,-,-,3605,-505,8868,778,-,-,23164,1470126
2016,25671,-,-,-,1887,135811,11022,-,-,423230,17937317,-,21849,53727,-,2436,124663,10177,-,-,395766,16349571,-,-,-,3822,-550,11148,845,-,-,27464,1587746
2017,23963,-,-,-,1790,131844,10617,-,-,407017,18212707,-,20176,52255,-,2342,121330,9805,-,-,379660,16605449,-,-,-,3787,-552,10514,812,-,-,27357,1607258
2018,25511,-,-,-,2102,139308,11155,-,-,423929,20227029,-,21410,55446,-,2550,129649,10420,-,-,400540,18546440,-,-,-,4101,-447,9659,735,-,-,23389,1680589
2019,26443,-,-,-,2267,143662,11617,-,-,441775,21738451,-,22105,57678,-,2802,132845,10741,-,-,413017,19754678,-,-,-,4338,-535,10817,876,-,-,28758,1983773
2020,25265,-,-,-,2264,142313,11261,-,-,427814,22067040,-,21192,56322,-,2658,132749,10523,-,-,403617,20165991,-,-,-,4073,-394,9564,738,-,-,24197,1901049
2021,24917,-,-,-,2254,136813,10869,-,-,411446,22621820,-,20861,54403,-,2648,128363,10164,-,-,387195,20609730,-,-,-,4056,-394,8450,705,-,-,24251,2012090
Immobilienfonds als Bauherren von Wohngebäuden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1010,-,-,-,36,2063,223,111,4,10059,313548,-,797,1032,-,48,2179,194,111,4,9062,227245,-,-,-,213,-12,-116,29,-,0,997,86303
2002,785,-,-,-,21,1847,178,35,3,7907,228416,-,616,807,-,32,1664,153,32,1,7005,178634,-,-,-,169,-11,183,25,3,1,902,49782
2003,634,-,-,-,6,1397,133,2,1,5953,163569,-,517,580,-,17,1228,113,-,-,5334,126635,-,-,-,117,-11,169,20,2,1,619,36934
2004,450,-,-,-,18,1257,111,-12,4,5086,145588,-,364,535,-,27,1062,92,168,7,4622,121559,-,-,-,86,-9,195,19,-180,-3,464,24029
2005,567,-,-,-,21,1974,170,85,3,7545,178663,-,449,713,-,35,1858,151,85,3,6800,148850,-,-,-,118,-14,116,19,-,-,745,29813
2006,458,-,-,-,8,1040,98,7,0,4232,109166,-,360,430,-,19,901,84,-,-,3737,89264,-,-,-,98,-11,139,14,7,0,495,19902
2007,445,-,-,-,4,1769,141,263,5,6285,165132,-,342,626,-,27,1402,112,262,5,5201,137269,-,-,-,103,-23,367,30,1,-,1084,27863
2008,544,-,-,-,14,1661,148,89,2,5624,178930,-,435,631,-,38,1312,112,88,2,4504,136966,-,-,-,109,-24,349,36,1,0,1120,41964
2009,357,-,-,-,-1,1315,103,191,4,4195,131353,-,244,415,-,20,981,71,212,5,3144,90849,-,-,-,113,-21,334,31,-21,-1,1051,40504
2010,287,-,-,-,4,1107,91,67,2,3364,103854,-,184,372,-,19,890,72,2,0,2877,76607,-,-,-,103,-15,217,19,65,2,487,27247
2011,297,-,-,-,-2,1367,115,9,0,4009,145018,-,180,477,-,23,962,84,-,-,3061,109053,-,-,-,117,-25,405,31,9,0,948,35965
2012,384,-,-,-,-5,2287,168,-,-,6515,213529,-,225,619,-,31,1769,120,-,-,4980,167843,-,-,-,159,-36,518,48,-,-,1535,45686
2013,405,-,-,-,3,3004,254,-,-,9231,353073,-,208,1076,-,41,2428,202,-,-,7653,279241,-,-,-,197,-38,576,52,-,-,1578,73832
2014,458,-,-,-,13,2918,256,-,-,9121,421695,-,268,1033,-,52,2250,199,-,-,7159,326246,-,-,-,190,-38,668,57,-,-,1962,95449
2015,346,-,-,-,9,3529,267,-,-,9347,422062,-,189,1131,-,59,2584,200,-,-,7160,328685,-,-,-,157,-50,945,67,-,-,2187,93377
2016,442,-,-,-,20,3803,244,-,-,9898,383314,-,269,1098,-,55,2893,194,-,-,8044,298920,-,-,-,173,-35,910,50,-,-,1854,84394
2017,420,-,-,-,11,4407,283,-,-,10418,517397,-,244,1292,-,53,3671,228,-,-,8680,429817,-,-,-,176,-42,736,54,-,-,1738,87580
2018,534,-,-,-,36,5318,375,-,-,14088,673315,-,378,1689,-,62,4626,327,-,-,12298,573778,-,-,-,156,-25,692,47,-,-,1790,99537
2019,412,-,-,-,27,2932,217,-,-,7717,421637,-,236,989,-,45,2474,182,-,-,6628,353635,-,-,-,176,-18,458,35,-,-,1089,68002
2020,468,-,-,-,0,3711,259,-,-,9390,451982,-,262,1013,-,43,2974,193,-,-,7345,338340,-,-,-,206,-43,737,66,-,-,2045,113642
2021,498,-,-,-,51,5251,298,-,-,11305,635030,-,321,1485,-,74,4782,260,-,-,9936,552797,-,-,-,177,-23,469,38,-,-,1369,82233
Sonst. Unternehmen als Bauherren von Wohngebäuden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7835,-,-,-,230,12913,1327,642,22,59208,1729989,-,5611,6277,-,301,11023,1101,546,17,50486,1386530,-,-,-,2224,-71,1890,226,96,4,8722,343459
2002,7046,-,-,-,188,12726,1262,962,37,56373,1676965,-,5102,6031,-,279,10872,1051,814,29,48179,1368737,-,-,-,1944,-91,1854,211,148,8,8194,308228
2003,7368,-,-,-,221,12176,1258,436,13,55306,1639806,-,5475,6171,-,283,10495,1075,466,13,48239,1374966,-,-,-,1893,-62,1681,183,-30,0,7067,264840
2004,6968,-,-,-,170,10873,1154,1612,51,52177,1517854,-,4878,5460,-,270,8822,933,1161,37,42815,1201208,-,-,-,2090,-101,2051,221,451,14,9362,316646
2005,6354,-,-,-,125,11269,1139,1424,39,50923,1442995,-,4536,5241,-,247,9122,911,1195,32,42085,1166727,-,-,-,1818,-122,2147,228,229,7,8838,276268
2006,6258,-,-,-,125,11239,1161,1282,41,50676,1500503,-,4414,5334,-,249,8856,938,622,23,41488,1196370,-,-,-,1844,-123,2383,223,660,18,9188,304133
2007,5081,-,-,-,122,9326,948,781,26,39894,1182373,-,3570,4207,-,218,7365,758,722,21,32895,936254,-,-,-,1511,-96,1961,190,59,5,6999,246119
2008,4825,-,-,-,47,10760,1007,1185,45,43043,1303542,-,3273,4412,-,212,7611,760,1212,42,33725,1002742,-,-,-,1552,-165,3149,248,-27,4,9318,300800
2009,4707,-,-,-,39,9845,972,697,21,39807,1306375,-,3253,4222,-,191,7471,762,531,15,31610,1014700,-,-,-,1454,-152,2374,210,166,6,8197,291675
2010,4413,-,-,-,94,9815,935,647,19,38154,1257288,-,2948,4220,-,197,7957,762,400,13,31583,993965,-,-,-,1465,-102,1858,174,247,6,6571,263323
2011,5503,-,-,-,122,12548,1184,771,25,48065,1618633,-,4151,5454,-,245,10315,996,688,22,41285,1350813,-,-,-,1352,-122,2233,188,83,2,6780,267820
2012,4994,-,-,-,171,14683,1324,-,-,52319,1898081,-,3472,6089,-,298,12309,1119,-,-,44959,1586264,-,-,-,1522,-127,2374,206,-,-,7360,311817
2013,5336,-,-,-,159,19790,1670,-,-,64952,2401993,-,3763,7547,-,346,16520,1393,-,-,55249,2026167,-,-,-,1573,-187,3270,277,-,-,9703,375826
2014,5439,-,-,-,164,21353,1726,-,-,66031,2545324,-,3862,7834,-,339,16998,1443,-,-,55948,2158209,-,-,-,1577,-175,4355,283,-,-,10083,387115
2015,5952,-,-,-,123,25097,1953,-,-,74679,2932232,-,4182,8564,-,380,20174,1599,-,-,61605,2450763,-,-,-,1770,-257,4923,354,-,-,13074,481469
2016,6302,-,-,-,256,28546,2202,-,-,84323,3440502,-,4409,9991,-,509,22998,1815,-,-,70241,2923428,-,-,-,1893,-254,5548,387,-,-,14082,517074
2017,5928,-,-,-,203,25123,1956,-,-,73532,3193465,-,4277,8868,-,401,21156,1660,-,-,63431,2767807,-,-,-,1651,-197,3967,295,-,-,10101,425658
2018,5443,-,-,-,305,22898,1823,-,-,69118,3245506,-,3996,8714,-,442,19662,1601,-,-,60854,2828116,-,-,-,1447,-137,3236,222,-,-,8264,417390
2019,5595,-,-,-,247,27024,2027,-,-,75671,3543994,-,4048,9307,-,425,22435,1740,-,-,65152,3018461,-,-,-,1547,-178,4589,287,-,-,10519,525533
2020,5732,-,-,-,274,23655,1793,-,-,68049,3367943,-,4287,8529,-,416,20615,1578,-,-,60468,2981553,-,-,-,1445,-141,3040,215,-,-,7581,386390
2021,5500,-,-,-,290,22629,1879,-,-,70532,3718611,-,4055,9195,-,456,19810,1636,-,-,62291,3244725,-,-,-,1445,-166,2819,243,-,-,8241,473886
Private Haushalte als Bauherren von Wohngebäuden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,182946,-,-,-,4847,178368,22900,305,10,1003797,28597486,-,120625,108006,-,5292,154995,19197,190,6,855096,24059167,-,-,-,62321,-445,23373,3703,115,4,148701,4538320
2002,184653,-,-,-,5121,179188,23304,367,12,1018992,29320774,-,124992,110997,-,5550,157144,19765,495,15,877785,24873826,-,-,-,59661,-428,22044,3539,-128,-3,141207,4446948
2003,211288,-,-,-,5888,205707,26934,587,12,1174756,33610893,-,146231,129010,-,6421,180532,22943,600,15,1014047,28782169,-,-,-,65057,-533,25175,3991,-13,-3,160709,4828724
2004,187366,-,-,-,5060,180591,23772,448,15,1030652,29515236,-,126107,111488,-,5715,156953,19971,610,16,880828,24969720,-,-,-,61259,-656,23638,3801,-162,0,149824,4545516
2005,160402,-,-,-,4164,153447,20245,271,9,864648,25091363,-,109183,94758,-,4748,133652,17168,347,10,743751,21382894,-,-,-,51219,-585,19795,3076,-76,-1,120897,3708469
2006,163208,-,-,-,4225,157117,20857,557,21,883391,26178306,-,109975,97307,-,4836,136553,17637,557,19,757635,22181273,-,-,-,53233,-611,20564,3219,-,1,125756,3997033
2007,109461,-,-,-,2527,100401,13490,167,6,558925,17432241,-,67870,60688,-,3004,85365,11076,234,7,467987,14267252,-,-,-,41591,-477,15036,2414,-67,-1,90938,3164989
2008,105900,-,-,-,2506,97208,13177,417,15,539907,17496285,-,65416,59523,-,2980,82853,10841,350,13,452382,14345518,-,-,-,40484,-473,14355,2336,67,2,87525,3150767
2009,110016,-,-,-,2727,102694,13864,685,23,565955,18990299,-,68779,63502,-,3184,88219,11529,517,16,479001,15595235,-,-,-,41237,-457,14475,2335,168,8,86954,3395064
2010,115284,-,-,-,2893,109487,14908,129,6,601905,20777045,-,74375,69083,-,3352,95328,12595,204,7,517886,17380147,-,-,-,40909,-459,14159,2312,-75,-2,84019,3396898
2011,132088,-,-,-,3533,129274,17665,283,13,707247,25134112,-,88509,82958,-,4036,114446,15183,243,8,618190,21394719,-,-,-,43579,-503,14828,2482,40,4,89057,3739393
2012,130598,-,-,-,3511,131543,17592,-,-,698758,25737084,-,86386,81912,-,4057,115335,15063,-,-,609313,21844816,-,-,-,44212,-546,16208,2530,-,-,89445,3892268
2013,135785,-,-,-,3620,141294,18566,-,-,730819,27975422,-,89445,86269,-,4270,123295,15870,-,-,635154,23725066,-,-,-,46340,-650,17999,2696,-,-,95665,4250356
2014,133248,-,-,-,3510,140358,18339,-,-,716541,28501507,-,86890,84674,-,4231,121171,15583,-,-,620034,24047263,-,-,-,46358,-721,19187,2755,-,-,96507,4454244
2015,144951,-,-,-,3844,156234,20177,-,-,779916,32033565,-,95047,93241,-,4648,134544,17186,-,-,675305,27120471,-,-,-,49904,-805,21690,2991,-,-,104611,4913094
2016,149532,-,-,-,3864,167654,21325,-,-,817085,34707853,-,96965,97391,-,4868,142317,17993,-,-,700175,29303650,-,-,-,52567,-1004,25337,3332,-,-,116910,5404203
2017,143214,-,-,-,3699,160832,20548,-,-,774875,34743464,-,93154,94436,-,4575,138352,17433,-,-,669594,29453137,-,-,-,50060,-876,22480,3115,-,-,105281,5290327
2018,140015,-,-,-,3703,155940,20266,-,-,756278,35172405,-,90933,92161,-,4566,133678,16993,-,-,652168,29779850,-,-,-,49082,-863,22262,3273,-,-,104110,5392555
2019,142131,-,-,-,3721,160176,20080,-,-,775143,37615966,-,91845,93991,-,4641,136406,17391,-,-,665295,31649027,-,-,-,50286,-921,23770,2689,-,-,109848,5966939
2020,154046,-,-,-,4033,174746,22122,-,-,830501,42304359,-,97948,101223,-,4978,149012,18758,-,-,713303,35782020,-,-,-,56098,-945,25734,3364,-,-,117198,6522339
2021,168334,-,-,-,4290,190419,24035,-,-,892518,48685367,-,103020,108815,-,5343,161387,20131,-,-,757971,40615936,-,-,-,65314,-1053,29032,3904,-,-,134547,8069431
